household_key,primer_dia,ultimo_dia,frecuencia_cestas,clv_historico,n_lineas,recencia_dias,tenencia_dias,gasto_medio_cesta,tenencia_corta,n_categorias_distintas,log_clv_historico,gasto_medio_semanal_base,gasto_medio_semanal_reciente,tendencia_no_disponible,tendencia_relativa,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,KID_CATEGORY_DESC,AGE_DESC_cod,MARITAL_STATUS_CODE_cod,INCOME_DESC_cod,HOMEOWNER_DESC_cod,HH_COMP_DESC_cod,KID_CATEGORY_DESC_cod,tamano_medio_cesta,descuento_total,target_campana,n_campanas,nivel_valor,nivel_tendencia,cuadrante
20,81,705,381,7383.24,2016,0,625,19.378582677165355,False,115,8.907103278363046,85.77352112676057,101.24000000000001,False,0.18031763964058642,25-34,A,75-99K,Renter,2 Adults No Kids,None/Unknown,1.0,0.0,5.0,3.0,2.0,3.0,5.291338582677166,832.59,1,7,Alto,Ascendente,Alto valor / Ascendente
21,72,682,27,870.11,278,23,611,32.2262962962963,False,86,6.769768260497217,10.172535211267606,6.753333333333334,False,-0.33612091842621433,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.296296296296296,166.66,0,0,Bajo,Descendente,Bajo valor / Descendente
22,25,703,134,6187.63,1613,2,679,46.17634328358209,False,143,8.730469016465426,60.96070422535211,81.94416666666667,False,0.3442129271299993,45-54,A,75-99K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,5.0,0.0,2.0,3.0,12.037313432835822,866.43,1,8,Alto,Ascendente,Alto valor / Ascendente
23,109,697,108,3113.42,746,8,589,28.827962962962964,False,127,8.043798218058313,35.73788732394366,22.44666666666667,False,-0.3719084045679483,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.907407407407407,278.5,1,3,Alto,Descendente,Alto valor / Descendente
24,59,698,73,1820.62,589,7,640,24.939999999999998,False,92,7.507481494048062,10.171971830985916,41.90833333333333,False,3.1199812612213433,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.068493150684931,426.99,0,0,Bajo,Ascendente,Bajo valor / Ascendente
25,11,705,94,3149.65,1019,0,695,33.50691489361702,False,115,8.05536405973896,34.76845070422535,28.8325,False,-0.17072807628739023,35-44,U,50-74K,Unknown,Unknown,None/Unknown,2.0,3.0,4.0,5.0,6.0,3.0,10.840425531914894,567.32,1,4,Alto,Descendente,Alto valor / Descendente
26,50,705,113,1937.39,826,0,656,17.145044247787613,False,118,7.569613010595075,18.71647887323944,28.949166666666667,False,0.546720772786904,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.3097345132743365,321.64,1,1,Bajo,Ascendente,Bajo valor / Ascendente
27,35,705,401,5643.97,2463,0,671,14.074738154613467,False,88,8.638520162132085,65.02126760563381,72.4825,False,0.11475064496773528,45-54,U,25-34K,Probable Renter,Single Female,None/Unknown,3.0,3.0,2.0,2.0,4.0,3.0,6.14214463840399,493.13,1,7,Alto,Ascendente,Alto valor / Ascendente
28,115,702,125,2119.62,637,3,588,16.95696,False,113,7.659463777740254,25.734225352112677,20.836666666666666,False,-0.19031304103521193,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.096,311.19,1,4,Bajo,Descendente,Bajo valor / Descendente
29,34,684,67,1310.32,465,21,651,19.557014925373135,False,84,7.178789542461027,13.976338028169014,7.791666666666667,False,-0.44251014457701815,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.940298507462686,298.7,1,5,Bajo,Descendente,Bajo valor / Descendente
30,77,692,27,571.46,135,13,616,21.165185185185187,False,66,6.349942863991809,3.4343661971830985,6.541666666666667,False,0.9047667869641296,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.0,97.59,0,0,Bajo,Ascendente,Bajo valor / Ascendente
31,99,705,66,4314.95,1079,0,607,65.3780303030303,False,136,8.37007274151018,41.53633802816901,107.54,False,1.589058282583043,35-44,B,35-49K,Homeowner,2 Adults No Kids,None/Unknown,2.0,1.0,3.0,0.0,2.0,3.0,16.348484848484848,1282.65,1,2,Alto,Ascendente,Alto valor / Ascendente
32,49,701,115,3345.28,976,4,653,29.089391304347828,False,153,8.115604560053994,33.260140845070424,28.246666666666666,False,-0.15073520589576272,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.486956521739131,391.99,1,6,Alto,Descendente,Alto valor / Descendente
33,110,690,49,1151.52,317,15,581,23.500408163265305,False,75,7.049706128299408,12.017464788732395,11.144166666666665,False,-0.07266908099323383,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.469387755102041,273.6,0,0,Bajo,Descendente,Bajo valor / Descendente
34,4,694,34,383.23,130,11,691,11.271470588235294,False,55,5.951241331617111,3.628450704225352,7.767500000000001,False,1.1407208291281736,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.823529411764706,69.55,0,0,Bajo,Ascendente,Bajo valor / Ascendente
35,21,687,59,1022.0600000000001,286,18,667,17.32305084745763,False,80,6.930553415258116,11.644929577464788,6.010833333333333,False,-0.48382398593758186,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.8474576271186445,135.4,0,0,Bajo,Descendente,Bajo valor / Descendente
36,88,704,220,4896.25,1358,1,617,22.255681818181817,False,128,8.49642910206351,50.416197183098596,83.41666666666667,False,0.654560861933297,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.172727272727273,868.76,1,3,Alto,Ascendente,Alto valor / Ascendente
37,87,705,62,2936.76,366,0,619,47.36709677419355,False,82,7.9854026651738765,30.353380281690143,52.240833333333335,False,0.7210878277318657,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.903225806451613,542.44,1,2,Alto,Ascendente,Alto valor / Ascendente
38,102,551,27,706.13,145,154,450,26.152962962962963,False,68,6.561214524523949,9.191267605633803,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.37037037037037,61.66,1,1,Bajo,Descendente,Bajo valor / Descendente
39,26,685,64,5033.66,1859,20,660,78.6509375,False,172,8.524101275563753,46.42915492957747,46.321666666666665,False,-0.002315102720991615,35-44,A,125-149K,Homeowner,2 Adults No Kids,None/Unknown,2.0,0.0,7.0,0.0,2.0,3.0,29.046875,833.55,1,5,Alto,Descendente,Alto valor / Descendente
40,75,702,394,12714.69,3706,3,628,32.27078680203046,False,194,9.450591942998075,141.50169014084508,169.09666666666666,False,0.19501517259867815,45-54,U,Under 15K,Homeowner,2 Adults No Kids,None/Unknown,3.0,3.0,0.0,0.0,2.0,3.0,9.406091370558375,1287.2600000000002,1,11,Alto,Ascendente,Alto valor / Ascendente
41,71,698,72,3065.15,1036,7,628,42.57152777777778,False,89,8.028177981914096,32.511408450704224,48.086666666666666,False,0.47907054656148157,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,14.38888888888889,605.26,1,1,Alto,Ascendente,Alto valor / Ascendente
42,100,705,88,1982.6200000000001,951,0,606,22.52977272727273,False,76,7.5926787372421085,22.424647887323946,23.423333333333332,False,0.04453516733138611,65+,U,50-74K,Unknown,Single Male,None/Unknown,5.0,3.0,4.0,5.0,5.0,3.0,10.806818181818182,561.5799999999999,1,3,Bajo,Ascendente,Bajo valor / Ascendente
43,115,688,103,869.7,379,17,574,8.44368932038835,False,70,6.76929748583457,11.60169014084507,2.584166666666667,False,-0.7772594651904369,35-44,B,15-24K,Homeowner,2 Adults Kids,3+,2.0,1.0,1.0,0.0,1.0,2.0,3.679611650485437,95.58999999999999,1,5,Bajo,Descendente,Bajo valor / Descendente
44,81,628,32,877.76,329,77,548,27.43,False,91,6.778511822860978,10.755070422535212,4.848333333333334,False,-0.5492048733428495,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.28125,133.74,0,0,Bajo,Descendente,Bajo valor / Descendente
45,100,587,57,807.09,237,118,488,14.159473684210527,False,64,6.694673438456734,9.453802816901408,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.157894736842105,66.5,1,1,Bajo,Descendente,Bajo valor / Descendente
46,14,704,135,8264.460000000001,2038,1,691,61.21822222222223,False,196,9.0198406650887,91.80802816901408,118.46583333333332,False,0.29036464126256506,45-54,A,150-174K,Homeowner,2 Adults Kids,3+,3.0,0.0,8.0,0.0,1.0,2.0,15.096296296296297,1523.57,1,9,Alto,Ascendente,Alto valor / Ascendente
47,109,697,110,2326.45,626,8,589,21.149545454545454,False,135,7.752528526643354,27.888450704225352,23.270833333333332,False,-0.1655745390758623,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.6909090909090905,293.55,1,3,Alto,Descendente,Alto valor / Descendente
48,112,689,49,1103.91,336,16,578,22.528775510204085,False,84,7.007519162670987,12.545492957746479,14.9925,False,0.19505068876090395,19-24,U,35-49K,Homeowner,2 Adults No Kids,None/Unknown,0.0,3.0,3.0,0.0,2.0,3.0,6.857142857142857,203.69,1,2,Bajo,Ascendente,Bajo valor / Ascendente
49,61,702,121,6445.03,1722,3,642,53.26471074380165,False,162,8.771219716413576,69.46169014084506,100.2275,False,0.4429176686713521,35-44,A,35-49K,Homeowner,2 Adults No Kids,None/Unknown,2.0,0.0,3.0,0.0,2.0,3.0,14.231404958677686,1467.6399999999999,1,6,Alto,Ascendente,Alto valor / Ascendente
50,113,675,15,351.39,126,30,563,23.426,False,53,5.864738516814899,2.816056338028169,8.915833333333333,False,2.166070654529692,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.4,38.3,0,0,Bajo,Ascendente,Bajo valor / Ascendente
51,14,698,82,2946.63,898,7,685,35.934512195121954,False,110,7.988756736612798,33.43014084507042,18.61,False,-0.44331673365521534,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.951219512195122,343.56,1,4,Alto,Descendente,Alto valor / Descendente
52,13,697,137,5308.29,1606,8,685,38.746642335766424,False,178,8.57721339531484,60.732112676056346,59.45249999999999,False,-0.021069786965616958,45-54,B,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,1.0,4.0,0.0,2.0,3.0,11.722627737226277,553.54,1,6,Alto,Descendente,Alto valor / Descendente
53,73,691,54,1874.26,552,14,619,34.70851851851852,False,100,7.536502595457844,21.436901408450705,21.714166666666667,False,0.01293401751181543,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.222222222222221,365.75,0,0,Bajo,Ascendente,Bajo valor / Ascendente
54,34,495,11,103.09,34,210,462,9.371818181818183,False,19,4.645255909527377,1.1407042253521127,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.090909090909091,18.53,0,0,Bajo,Descendente,Bajo valor / Descendente
55,67,703,141,1072.79,385,2,637,7.6084397163120565,False,83,6.978949725223928,10.932957746478873,16.611666666666668,False,0.5194119516300801,65+,A,35-49K,Homeowner,2 Adults No Kids,None/Unknown,5.0,0.0,3.0,0.0,2.0,3.0,2.730496453900709,194.34,1,4,Bajo,Ascendente,Bajo valor / Ascendente
56,96,701,200,6631.16,2336,4,606,33.1558,False,180,8.79968582197647,75.53929577464788,89.575,False,0.18580665971819546,55-64,A,100-124K,Homeowner,2 Adults Kids,2,4.0,0.0,6.0,0.0,1.0,1.0,11.68,1272.45,1,2,Alto,Ascendente,Alto valor / Ascendente
57,52,705,193,3097.75,906,0,654,16.050518134715027,False,145,8.038754083349401,29.658873239436623,43.05083333333334,False,0.45153300281447567,45-54,B,35-49K,Homeowner,2 Adults No Kids,None/Unknown,3.0,1.0,3.0,0.0,2.0,3.0,4.694300518134715,505.61999999999995,1,4,Alto,Ascendente,Alto valor / Ascendente
58,81,704,266,10237.19,2877,1,624,38.485676691729324,False,183,9.233880125157496,115.66239436619719,98.98083333333334,False,-0.14422631594542806,25-34,A,150-174K,Homeowner,2 Adults Kids,2,1.0,0.0,8.0,0.0,1.0,1.0,10.81578947368421,1576.53,1,10,Alto,Descendente,Alto valor / Descendente
59,67,684,44,1688.33,493,21,618,38.37113636363636,False,122,7.432087279606017,17.846760563380283,21.214166666666667,False,0.18868444451459476,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.204545454545455,404.48,0,0,Bajo,Ascendente,Bajo valor / Ascendente
60,91,697,8,400.94,107,8,607,50.1175,False,57,5.996302823748231,0.44450704225352117,8.680000000000001,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.375,216.37,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
61,78,695,11,183.8,40,10,618,16.70909090909091,False,23,5.2192741592075835,1.6763380281690143,1.3541666666666667,False,-0.1921875875203048,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.6363636363636362,52.910000000000004,0,0,Bajo,Descendente,Bajo valor / Descendente
62,66,669,33,359.29,246,36,604,10.887575757575759,False,85,5.886909262719977,4.220140845070422,1.5691666666666666,False,-0.6281719676489893,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.454545454545454,75.33999999999999,0,0,Bajo,Descendente,Bajo valor / Descendente
63,85,675,32,573.67,116,30,591,17.9271875,False,33,6.353795963002743,5.510140845070423,4.890833333333334,False,-0.11239413458752959,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.625,70.69,0,0,Bajo,Descendente,Bajo valor / Descendente
64,10,703,256,3734.6,1351,2,694,14.58828125,False,145,8.225663727235563,35.88183098591549,65.51666666666667,False,0.8259008770311521,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.27734375,544.92,1,4,Alto,Ascendente,Alto valor / Ascendente
65,36,671,122,2042.17,530,34,636,16.73909836065574,False,121,7.62225780232005,23.90394366197183,11.724166666666667,False,-0.5095300243148438,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.344262295081967,239.94,1,6,Bajo,Descendente,Bajo valor / Descendente
66,118,685,29,395.95,183,20,568,13.653448275862068,False,70,5.983810328171122,4.414647887323944,2.689166666666667,False,-0.3908536455674663,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.310344827586207,82.78,0,0,Bajo,Descendente,Bajo valor / Descendente
67,103,704,225,9599.6,2776,1,602,42.66488888888889,False,195,9.169580875502884,93.98788732394367,202.23166666666668,False,1.1516779706904596,45-54,A,Under 15K,Homeowner,2 Adults Kids,3+,3.0,0.0,0.0,0.0,1.0,2.0,12.337777777777777,2755.02,1,8,Alto,Ascendente,Alto valor / Ascendente
68,5,699,551,4957.8,2195,6,695,8.9978221415608,False,166,8.508919054963991,54.13901408450704,48.0025,False,-0.11334735565979077,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.983666061705989,1013.75,1,10,Alto,Descendente,Alto valor / Descendente
69,86,705,180,5667.8,2076,0,620,31.48777777777778,False,155,8.642732734111208,64.92521126760565,78.5475,False,0.20981508517926342,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.533333333333333,1035.81,1,7,Alto,Ascendente,Alto valor / Ascendente
70,8,705,32,76.4,47,0,698,2.3875,False,12,4.3489867805956814,0.7049295774647887,0.5408333333333334,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,1.46875,10.71,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
71,63,700,88,3338.76,656,5,638,37.94045454545455,False,108,8.113654227101534,34.67661971830986,26.378333333333334,False,-0.23930493953523632,35-44,A,25-34K,Homeowner,Single Female,None/Unknown,2.0,0.0,2.0,0.0,4.0,3.0,7.454545454545454,554.22,1,2,Alto,Descendente,Alto valor / Descendente
72,74,694,107,6473.43,2587,11,621,60.499345794392525,False,170,8.775615851804762,81.64140845070422,21.765833333333333,False,-0.7333971357625986,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,24.177570093457945,1018.7499999999999,1,7,Alto,Descendente,Alto valor / Descendente
73,59,662,164,2864.18,737,43,604,17.46451219512195,False,114,7.960386454400424,36.820845070422536,9.61,False,-0.7390065333476139,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.4939024390243905,243.29000000000002,1,4,Alto,Descendente,Alto valor / Descendente
74,33,656,131,2047.64,1045,49,624,15.630839694656489,False,109,7.624931437341444,22.49732394366197,7.7725,False,-0.6545144649441874,65+,A,15-24K,Homeowner,2 Adults No Kids,None/Unknown,5.0,0.0,1.0,0.0,2.0,3.0,7.977099236641221,884.83,1,5,Bajo,Descendente,Bajo valor / Descendente
75,89,701,63,1122.95,230,4,613,17.824603174603176,False,54,7.02460454547843,10.966056338028169,26.031666666666666,False,1.3738403181820127,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.6507936507936507,189.25,0,0,Bajo,Ascendente,Bajo valor / Ascendente
76,44,649,15,298.95,105,56,606,19.93,False,61,5.703615794099102,2.2540845070422533,2.3816666666666664,False,0.056600433225027065,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.0,76.57000000000001,0,0,Bajo,Ascendente,Bajo valor / Ascendente
77,5,702,86,6056.84,2408,3,698,70.42837209302326,False,169,8.709108579881514,49.09323943661972,68.16333333333334,False,0.38844643611944707,35-44,A,100-124K,Homeowner,2 Adults Kids,3+,2.0,0.0,6.0,0.0,1.0,2.0,28.0,1263.91,1,2,Alto,Ascendente,Alto valor / Ascendente
78,88,703,206,2465.39,1023,2,616,11.967912621359222,False,92,7.810510822071343,27.62154929577465,40.065000000000005,False,0.450497927215432,55-64,U,25-34K,Unknown,Single Male,None/Unknown,4.0,3.0,2.0,5.0,5.0,3.0,4.966019417475728,394.58,1,5,Alto,Ascendente,Alto valor / Ascendente
79,102,705,152,3927.7,1235,0,604,25.840131578947368,False,171,8.276063861336551,45.93281690140845,52.696666666666665,False,0.1472552789387235,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.125,837.25,1,1,Alto,Ascendente,Alto valor / Ascendente
80,53,694,94,3002.09,1192,11,642,31.937127659574468,False,145,8.007397037564209,32.04746478873239,37.16416666666667,False,0.15966011388623985,45-54,U,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,3.0,4.0,0.0,2.0,3.0,12.680851063829786,873.91,1,2,Alto,Ascendente,Alto valor / Ascendente
81,48,703,151,5551.46,2069,2,656,36.7646357615894,False,160,8.621996351780455,55.807464788732396,21.294166666666666,False,-0.6184351547363968,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.701986754966887,1231.5800000000002,1,4,Alto,Descendente,Alto valor / Descendente
82,81,692,50,555.39,122,13,612,11.1078,False,30,6.321469487206254,5.645915492957747,4.959166666666667,False,-0.12163639841008494,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.44,88.88,0,0,Bajo,Descendente,Bajo valor / Descendente
